muestra2;
Long.de onda (nm);Abs
799.9957275;0.5669921637
798.9888916;0.5684207678
798.0165405;0.5616335869
797.0088501;0.566927731
796.0009155;0.5662869811
794.9924927;0.5673459768
793.9837036;0.5687389374
793.0093384;0.5701271892
791.9996948;0.5701450706
790.9898071;0.5700919628
790.0142212;0.5683372021
789.003479;0.5654852986
787.9923096;0.5703053474
787.015625;0.5674800873
786.0036621;0.5670882463
784.991333;0.5704246163
784.0135498;0.5668085217
783.0003662;0.5680627227
781.9868164;0.5708549619
781.0078735;0.5721577406
779.9936523;0.5700663328
779.013855;0.5701068044
777.9987793;0.5693753362
776.9833374;0.5697478056
776.0025024;0.5741344094
774.9862061;0.574786067
774.0046997;0.5738059282
772.9876709;0.5711321831
772.0053101;0.5717387795
770.9875488;0.5782539248
770.0044556;0.5732519031
768.9859009;0.5728459358
768.0020752;0.5738053918
766.9827881;0.5731816888
765.9981689;0.5752141476
765.0133667;0.5715082884
763.9928589;0.5727202296
763.0072632;0.5739598274
761.9859619;0.5758686662
760.9996338;0.5729868412
760.0128784;0.5762422681
758.9904785;0.575378418
758.0031128;0.5738102198
757.0151978;0.5736915469
755.9917603;0.5752285719
755.0031738;0.57464993
754.0142822;0.5734291077
752.9897461;0.5729677677
752.000061;0.5769380331
751.0100098;0.5758796334
749.984375;0.5769622922
748.9935913;0.5750994682
748.0026245;0.5756880641
747.0111694;0.5752664208
745.9839478;0.573997736
744.9918823;0.5736939311
743.9993286;0.575160563
743.0064697;0.5743225217
742.0133057;0.5756862164
740.9842529;0.572840035
739.9903564;0.574729979
738.9960938;0.5730117559
738.0015869;0.5737614036
737.0065308;0.5743829608
736.0112305;0.5740969777
735.015625;0.5746042728
733.9840088;0.5712572336
732.9876709;0.572280705
731.9909668;0.5715053678
730.9938965;0.5719146132
729.996582;0.5705640912
728.9987793;0.5696445704
728.0007324;0.5729258657
727.0023193;0.5723044872
726.00354;0.5714741349
725.0043945;0.5701848269
724.0050049;0.5702679753
723.005188;0.570661366
722.0050049;0.5720061064
721.0045166;0.5713874102
720.0037231;0.5714156628
719.0025635;0.5733164549
718.0010986;0.5729183555
716.9992676;0.5747497082
715.9970093;0.574487865
714.9945679;0.5755597353
713.9916382;0.5767455697
712.9884644;0.5756085515
711.9849854;0.5779779553
711.0169678;0.5790285468
710.0127563;0.5790669322
709.0081787;0.5817346573
708.0033569;0.5814036131
706.9981689;0.584461391
705.9926758;0.584425807
704.9867554;0.5874671936
704.0165405;0.5894197822
703.0100708;0.5902328491
702.0031738;0.5914942622
700.9959717;0.5921268463
699.9884644;0.5933035612
699.0166016;0.5943797827
698.0084839;0.5963481069
696.999939;0.5952683687
695.9912109;0.600394249
695.0180664;0.6028144956
694.008606;0.6011005044
692.9988403;0.6056152582
691.9886475;0.6038880944
691.0143433;0.6075701714
690.00354;0.6071961522
688.9924927;0.6084141731
688.0171509;0.6081661582
687.0054321;0.6101788282
685.9934082;0.6131411195
685.0172119;0.6108484864
684.0044556;0.611705184
682.9915161;0.6132854223
682.0144043;0.6142960787
681.0006714;0.6151078939
679.9866943;0.6149123907
679.008667;0.6167775989
677.9941406;0.6145098209
677.0154419;0.614241302
676.0001831;0.6163614392
674.9846191;0.618825078
674.0050659;0.6224585176
672.9888916;0.6193910241
672.008728;0.6202622652
670.9919434;0.6206840277
670.0111084;0.6228399873
668.9937134;0.6223024726
668.0123901;0.6217407584
666.9943237;0.624647975
666.0123291;0.6244519949
664.9936523;0.6264951825
664.0111084;0.6264238358
662.9918213;0.6270638108
662.008606;0.6281685233
660.9887695;0.6284900308
660.0050049;0.6293439269
658.9844971;0.6286827922
658.0001221;0.6309844851
657.0155029;0.6334382892
655.9940186;0.6312491894
655.0088501;0.6321476102
653.9868164;0.6342902184
653.0009766;0.6378521323
652.0148926;0.6371566653
650.9920044;0.6365613341
650.0053101;0.6389193535
648.9817505;0.6398485303
647.9945068;0.6391355395
647.006958;0.6417238116
645.9825439;0.641772747
644.9943848;0.6435949206
644.0059814;0.6444438696
643.0172729;0.642950654
641.9916992;0.6437216997
641.0023804;0.6468499303
640.0128784;0.6465982199
638.9863281;0.647187531
637.9962158;0.6469529867
637.0057983;0.6474598646
636.0151367;0.6484666467
634.9874878;0.649179101
633.9962158;0.6468736529
633.0046997;0.6506569982
632.0128784;0.6504428387
630.9840088;0.6521323919
629.9916382;0.6512447596
628.9990234;0.6535857916
628.0060425;0.6551038623
627.0128784;0.6562134624
625.982605;0.6582091451
624.9887695;0.657176733
623.994812;0.6560236812
623.0004883;0.6563737988
622.0059204;0.6582920551
621.0109863;0.6596542001
620.0159302;0.6596308351
618.9835815;0.6597446203
617.987854;0.6595422029
616.9919434;0.6599772573
615.9957275;0.6614575982
614.9991455;0.661223352
614.0024414;0.6628891826
613.0054321;0.6617640257
612.0080566;0.6635050178
611.010498;0.6639182568
610.0126953;0.6639884114
609.0145264;0.6639383435
