;3 min;15 min;30 min;47 min;57 min;70 min;76 min;88 min;Final;Blanco
Long.de onda (nm); Abs; Abs;Abs;Abs;Abs;Abs;Abs;Abs; Abs;Abs
799.9957275;1.308168769;1.03483808;0.5669921637;0.4310241938;0.4056088328;0.3763742149;0.3568469584;0.3334896564;0.1015894562;1.573284388
798.9888916;1.321953893;1.02887392;0.5684207678;0.4312151074;0.4052060246;0.3785663247;0.3608989716;0.3356862962;0.1030468121;1.527763247
798.0165405;1.334868908;1.030390382;0.5616335869;0.4316594303;0.4060125649;0.3760384619;0.3597119749;0.3363848627;0.1036314368;1.559204102
797.0088501;1.309097648;1.025518417;0.566927731;0.4342020452;0.4026827514;0.3767145872;0.3612663448;0.337036252;0.1037489325;1.558387399
796.0009155;1.29432559;1.035598874;0.5662869811;0.4346618056;0.4034088254;0.3761973977;0.3601542115;0.3365146518;0.1033901945;1.591626287
794.9924927;1.309592962;1.035528541;0.5673459768;0.4326319993;0.4033590555;0.3761328757;0.3604767323;0.335373491;0.105260402;1.609881759
793.9837036;1.316638708;1.029748797;0.5687389374;0.433665663;0.405995816;0.3766260445;0.3602226973;0.3377311528;0.1035156772;1.594508052
793.0093384;1.331435204;1.039061069;0.5701271892;0.4367766976;0.4054813981;0.3789135218;0.3606187105;0.3362590075;0.1050766781;1.550298095
791.9996948;1.323804617;1.041607141;0.5701450706;0.4328497052;0.4077109694;0.3767107725;0.3609428108;0.3384588063;0.1044176817;1.577585459
790.9898071;1.332871556;1.039099813;0.5700919628;0.4355564117;0.4067572951;0.3752250075;0.3619638085;0.336278379;0.1059356183;1.562987685
790.0142212;1.316670299;1.037124634;0.5683372021;0.4329272509;0.4077839255;0.3760509193;0.3596275449;0.3361837268;0.1055584997;1.54913795
789.003479;1.322541118;1.045423269;0.5654852986;0.4364124537;0.4065741003;0.3760004938;0.3601811528;0.335170418;0.1051282808;1.565860748
787.9923096;1.312619209;1.034747362;0.5703053474;0.4328555167;0.4070871174;0.3791326582;0.3636221588;0.3378583491;0.103887178;1.550789118
787.015625;1.327344537;1.043223858;0.5674800873;0.4399712384;0.4085427821;0.3771194518;0.3646709919;0.3371359706;0.1062200591;1.601485491
786.0036621;1.338516831;1.037872195;0.5670882463;0.4345717728;0.4072397351;0.3780677915;0.3614107966;0.3394447267;0.1058701724;1.573351145
784.991333;1.315321088;1.037921309;0.5704246163;0.434278965;0.4059081376;0.3815122843;0.3620357811;0.3392879069;0.105014734;1.543468356
784.0135498;1.346760631;1.038015246;0.5668085217;0.4342595935;0.4045853913;0.3782509863;0.3598781228;0.3360950053;0.1059139147;1.581277609
783.0003662;1.329111218;1.028442144;0.5680627227;0.4357866049;0.4057146013;0.3778623641;0.3625716865;0.3379507065;0.1063461602;1.556381464
781.9868164;1.327115536;1.037003875;0.5708549619;0.4377179444;0.4079300463;0.3809874952;0.3612027466;0.3390903771;0.1054699123;1.552750945
781.0078735;1.334568262;1.038568139;0.5721577406;0.436129421;0.4093416631;0.3795923293;0.3635869026;0.3389325738;0.1065027043;1.568695188
779.9936523;1.333543658;1.025898933;0.5700663328;0.4343279004;0.4088189006;0.37981987;0.3636367321;0.339273423;0.1040309593;1.568413854
779.013855;1.327322006;1.042680621;0.5701068044;0.4393531084;0.4089186788;0.3791843057;0.3642528057;0.3409826756;0.1063504294;1.548173785
777.9987793;1.316063762;1.033555031;0.5693753362;0.4349130094;0.4091657698;0.3797326386;0.3652605712;0.339766562;0.1058744341;1.590478182
776.9833374;1.311980844;1.04159987;0.5697478056;0.4354785979;0.4098456502;0.3828934729;0.3639265597;0.3404214084;0.1062488183;1.589571476
776.0025024;1.34617281;1.03522563;0.5741344094;0.437022984;0.4091627002;0.3802643418;0.3649440706;0.3395912945;0.1068462431;1.581910014
774.9862061;1.336857796;1.047624588;0.574786067;0.4380024076;0.4071753919;0.380351454;0.3660755157;0.3404531777;0.1063021496;1.571748137
774.0046997;1.322749615;1.035249591;0.5738059282;0.4386677444;0.4096078575;0.3794822395;0.3636113405;0.3403767943;0.1074690223;1.582346678
772.9876709;1.328233004;1.049668074;0.5711321831;0.4379512668;0.4104936719;0.3811484277;0.3646095693;0.3398497999;0.1067084447;1.542205811
772.0053101;1.327599525;1.035916924;0.5717387795;0.4360306859;0.4087665379;0.3841367066;0.3661574721;0.339756608;0.1059748679;1.590841174
770.9875488;1.329163551;1.034718513;0.5782539248;0.4396596253;0.4111213088;0.3824860752;0.3638718724;0.3409329951;0.1077870205;1.590975761
770.0044556;1.335917234;1.04242599;0.5732519031;0.4380009472;0.4083949029;0.3801949024;0.3651199937;0.3433677852;0.1083381251;1.58357656
768.9859009;1.327507257;1.037431836;0.5728459358;0.4385936856;0.4106343389;0.3822216988;0.3659941256;0.3397426903;0.1064875871;1.569921613
768.0020752;1.326158047;1.043287992;0.5738053918;0.4388633072;0.4109410644;0.3826068044;0.3639375567;0.3391575515;0.1071970463;1.596713185
766.9827881;1.326725245;1.045272946;0.5731816888;0.4355338216;0.4092557132;0.3837660849;0.3647302091;0.3410193622;0.106812045;1.566542745
765.9981689;1.327997923;1.042875171;0.5752141476;0.4385754764;0.4112569094;0.3824504912;0.3638058603;0.3391841352;0.1067910939;1.578460574
765.0133667;1.32949698;1.041267991;0.5715082884;0.4397334754;0.4089852571;0.3811682761;0.3641699255;0.3384526968;0.1069651768;1.584080338
763.9928589;1.32572639;1.038210988;0.5727202296;0.4378094375;0.4103641212;0.3821664155;0.3639675677;0.3389718235;0.1058526039;1.562903166
763.0072632;1.323705792;1.036269784;0.5739598274;0.4379631877;0.4123884737;0.3823623657;0.3647932708;0.3406411111;0.1067223474;1.571580768
761.9859619;1.317487836;1.041261435;0.5758686662;0.438734889;0.4100594223;0.3836313188;0.3651281893;0.3409673274;0.1076050773;1.568721294
760.9996338;1.321639061;1.038261533;0.5729868412;0.4397215545;0.4109871387;0.3813801706;0.3662641644;0.3402867615;0.1078998744;1.559761524
760.0128784;1.321712732;1.040373683;0.5762422681;0.4414432347;0.4102129936;0.3806267381;0.3658579588;0.3418491185;0.1076135635;1.596888423
758.9904785;1.33564496;1.031132936;0.575378418;0.438336283;0.4101063311;0.3841819167;0.365264535;0.3408715725;0.1077251807;1.547492981
758.0031128;1.322181106;1.048045874;0.5738102198;0.4385515153;0.4106618464;0.3822540939;0.3647603095;0.340310514;0.107221365;1.537980795
757.0151978;1.334962249;1.043372989;0.5736915469;0.4406505227;0.4107493758;0.3838823736;0.3662500978;0.3408509493;0.1078698412;1.570492148
755.9917603;1.330919027;1.039469123;0.5752285719;0.4379728436;0.4088720679;0.3826396167;0.3642335236;0.3404166996;0.1070750654;1.571376204
755.0031738;1.335425138;1.043874741;0.57464993;0.4408082664;0.4106068015;0.3836739659;0.3647302389;0.3405192792;0.1081468165;1.554870248
754.0142822;1.336850762;1.045662284;0.5734291077;0.441228956;0.4108664691;0.3811899126;0.3669505119;0.3404278457;0.1069241837;1.541833878
752.9897461;1.320347667;1.042115927;0.5729677677;0.4379530847;0.4119385779;0.3825798035;0.3653204143;0.3389495611;0.107286714;1.552389503
752.000061;1.332426786;1.041271925;0.5769380331;0.4415787458;0.4116230309;0.3818767071;0.3642159402;0.3402177691;0.1068486273;1.562949538
751.0100098;1.328595996;1.043277383;0.5758796334;0.4411818385;0.4106273651;0.3822079599;0.3660713136;0.3403899074;0.1075896546;1.567588449
749.984375;1.341904879;1.048609614;0.5769622922;0.4387073815;0.4097401202;0.381914556;0.364898175;0.3418305814;0.1073902547;1.572104692
748.9935913;1.321551085;1.049166918;0.5750994682;0.4372981191;0.4106592536;0.3837671876;0.364715457;0.340320766;0.1083538681;1.571426988
748.0026245;1.317663789;1.040613651;0.5756880641;0.4401795566;0.4117194414;0.3821192682;0.3652257025;0.3397578299;0.1073644683;1.567207456
