muestra1; ; 3min; ; 
Long.de onda (nm); Abs; Long.de onda (nm); Abs; 
799.9957275; 0.1015894562; 799.9957275; 1.308168769; 
798.9888916; 0.1030468121; 798.9888916; 1.321953893; 
798.0165405; 0.1036314368; 798.0165405; 1.334868908; 
797.0088501; 0.1037489325; 797.0088501; 1.309097648; 
796.0009155; 0.1033901945; 796.0009155; 1.29432559; 
794.9924927; 0.105260402; 794.9924927; 1.309592962; 
793.9837036; 0.1035156772; 793.9837036; 1.316638708; 
793.0093384; 0.1050766781; 793.0093384; 1.331435204; 
791.9996948; 0.1044176817; 791.9996948; 1.323804617; 
790.9898071; 0.1059356183; 790.9898071; 1.332871556; 
790.0142212; 0.1055584997; 790.0142212; 1.316670299; 
789.003479; 0.1051282808; 789.003479; 1.322541118; 
787.9923096; 0.103887178; 787.9923096; 1.312619209; 
787.015625; 0.1062200591; 787.015625; 1.327344537; 
786.0036621; 0.1058701724; 786.0036621; 1.338516831; 
784.991333; 0.105014734; 784.991333; 1.315321088; 
784.0135498; 0.1059139147; 784.0135498; 1.346760631; 
783.0003662; 0.1063461602; 783.0003662; 1.329111218; 
781.9868164; 0.1054699123; 781.9868164; 1.327115536; 
781.0078735; 0.1065027043; 781.0078735; 1.334568262; 
779.9936523; 0.1040309593; 779.9936523; 1.333543658; 
779.013855; 0.1063504294; 779.013855; 1.327322006; 
777.9987793; 0.1058744341; 777.9987793; 1.316063762; 
776.9833374; 0.1062488183; 776.9833374; 1.311980844; 
776.0025024; 0.1068462431; 776.0025024; 1.34617281; 
774.9862061; 0.1063021496; 774.9862061; 1.336857796; 
774.0046997; 0.1074690223; 774.0046997; 1.322749615; 
772.9876709; 0.1067084447; 772.9876709; 1.328233004; 
772.0053101; 0.1059748679; 772.0053101; 1.327599525; 
770.9875488; 0.1077870205; 770.9875488; 1.329163551; 
770.0044556; 0.1083381251; 770.0044556; 1.335917234; 
768.9859009; 0.1064875871; 768.9859009; 1.327507257; 
768.0020752; 0.1071970463; 768.0020752; 1.326158047; 
766.9827881; 0.106812045; 766.9827881; 1.326725245; 
765.9981689; 0.1067910939; 765.9981689; 1.327997923; 
765.0133667; 0.1069651768; 765.0133667; 1.32949698; 
763.9928589; 0.1058526039; 763.9928589; 1.32572639; 
763.0072632; 0.1067223474; 763.0072632; 1.323705792; 
761.9859619; 0.1076050773; 761.9859619; 1.317487836; 
760.9996338; 0.1078998744; 760.9996338; 1.321639061; 
760.0128784; 0.1076135635; 760.0128784; 1.321712732; 
758.9904785; 0.1077251807; 758.9904785; 1.33564496; 
758.0031128; 0.107221365; 758.0031128; 1.322181106; 
757.0151978; 0.1078698412; 757.0151978; 1.334962249; 
755.9917603; 0.1070750654; 755.9917603; 1.330919027; 
755.0031738; 0.1081468165; 755.0031738; 1.335425138; 
754.0142822; 0.1069241837; 754.0142822; 1.336850762; 
752.9897461; 0.107286714; 752.9897461; 1.320347667; 
752.000061; 0.1068486273; 752.000061; 1.332426786; 
751.0100098; 0.1075896546; 751.0100098; 1.328595996; 
749.984375; 0.1073902547; 749.984375; 1.341904879; 
748.9935913; 0.1083538681; 748.9935913; 1.321551085; 
748.0026245; 0.1073644683; 748.0026245; 1.317663789; 
747.0111694; 0.1074275821; 747.0111694; 1.347834945; 
745.9839478; 0.1091637984; 745.9839478; 1.324883938; 
744.9918823; 0.1067326367; 744.9918823; 1.320093036; 
743.9993286; 0.1081833094; 743.9993286; 1.314536929; 
743.0064697; 0.1063296646; 743.0064697; 1.316616297; 
742.0133057; 0.106754221; 742.0133057; 1.331598282; 
740.9842529; 0.1064625755; 740.9842529; 1.336829662; 
739.9903564; 0.1061616838; 739.9903564; 1.326335907; 
738.9960938; 0.1064484194; 738.9960938; 1.331732035; 
738.0015869; 0.1070147902; 738.0015869; 1.325084686; 
737.0065308; 0.1063287333; 737.0065308; 1.329141736; 
736.0112305; 0.1062496826; 736.0112305; 1.319325566; 
735.015625; 0.1066562235; 735.015625; 1.32329154; 
733.9840088; 0.1072662994; 733.9840088; 1.325842619; 
732.9876709; 0.1062877029; 732.9876709; 1.318296313; 
731.9909668; 0.1055669487; 731.9909668; 1.328983188; 
730.9938965; 0.10584943; 730.9938965; 1.323054433; 
729.996582; 0.1064611897; 729.996582; 1.309988618; 
728.9987793; 0.1059799865; 728.9987793; 1.328958631; 
728.0007324; 0.1058477834; 728.0007324; 1.322373629; 
727.0023193; 0.1068012565; 727.0023193; 1.31670785; 
726.00354; 0.1070560217; 726.00354; 1.327812195; 
725.0043945; 0.1070185974; 725.0043945; 1.320083618; 
724.0050049; 0.1081043184; 724.0050049; 1.319095254; 
