   pH 	   %-1	  %-2 	   %-3
  0.00	  0.00	 99.51	  0.49
  0.20	  0.00	 99.23	  0.77
  0.40	  0.00	 98.78	  1.22
  0.60	  0.00	 98.08	  1.92
  0.80	  0.00	 96.99	  3.01
  1.00	  0.00	 95.30	  4.70
  1.20	  0.00	 92.76	  7.24
  1.40	  0.00	 88.99	 11.01
  1.60	  0.00	 83.60	 16.40
  1.80	  0.00	 76.29	 23.71
  2.00	  0.00	 66.99	 33.00
  2.20	  0.00	 56.15	 43.85
  2.40	  0.00	 44.69	 55.31
  2.60	  0.00	 33.77	 66.23
  2.80	  0.00	 24.34	 75.66
  3.00	  0.00	 16.87	 83.13
  3.20	  0.00	 11.35	 88.65
  3.40	  0.00	  7.48	 92.52
  3.60	  0.00	  4.85	 95.15
  3.80	  0.00	  3.12	 96.88
  4.00	  0.00	  1.99	 98.01
  4.20	  0.00	  1.26	 98.73
  4.40	  0.00	  0.80	 99.20
  4.60	  0.00	  0.51	 99.49
  4.80	  0.00	  0.32	 99.67
  5.00	  0.01	  0.20	 99.79
  5.20	  0.01	  0.13	 99.86
  5.40	  0.01	  0.08	 99.90
  5.60	  0.02	  0.05	 99.93
  5.80	  0.04	  0.03	 99.93
  6.00	  0.06	  0.02	 99.92
  6.20	  0.09	  0.01	 99.90
  6.40	  0.14	  0.01	 99.85
  6.60	  0.23	  0.01	 99.77
  6.80	  0.36	  0.00	 99.63
  7.00	  0.57	  0.00	 99.43
  7.20	  0.90	  0.00	 99.09
  7.40	  1.42	  0.00	 98.57
  7.60	  2.24	  0.00	 97.76
  7.80	  3.50	  0.00	 96.50
  8.00	  5.44	  0.00	 94.56
  8.20	  8.35	  0.00	 91.65
  8.40	 12.62	  0.00	 87.38
  8.60	 18.63	  0.00	 81.37
  8.80	 26.62	  0.00	 73.38
  9.00	 36.51	  0.00	 63.49
  9.20	 47.68	  0.00	 52.32
  9.40	 59.09	  0.00	 40.91
  9.60	 69.60	  0.00	 30.40
  9.80	 78.39	  0.00	 21.61
 10.00	 85.18	  0.00	 14.81
 10.20	 90.11	  0.00	  9.89
 10.40	 93.52	  0.00	  6.48
 10.60	 95.81	  0.00	  4.19
 10.80	 97.32	  0.00	  2.68
 11.00	 98.29	  0.00	  1.71
 11.20	 98.91	  0.00	  1.09
 11.40	 99.31	  0.00	  0.69
 11.60	 99.57	  0.00	  0.43
 11.80	 99.73	  0.00	  0.27
 12.00	 99.83	  0.00	  0.17
 12.20	 99.89	  0.00	  0.11
 12.40	 99.93	  0.00	  0.07
 12.60	 99.96	  0.00	  0.04
 12.80	 99.97	  0.00	  0.03
 13.00	 99.98	  0.00	  0.02
 13.20	 99.99	  0.00	  0.01
 13.40	 99.99	  0.00	  0.01
 13.60	100.00	  0.00	  0.00
 13.80	100.00	  0.00	  0.00
 14.00	100.00	  0.00	  0.00
