Cobalto,,Cobre,
Long.de onda (nm),Abs,Long.de onda (nm),Abs
799.9918213,0.0132713271,1000.004272,0.3557601273
798.9849854,0.0127678337,998.9981079,0.352071166
798.0125122,0.0107587744,997.9915161,0.3530758321
797.0048828,0.0113369105,997.015686,0.3562910259
795.9969482,0.014140904,996.0076904,0.3572313488
794.9885254,0.0128912525,994.9992065,0.3566146791
794.0145264,0.0129967285,993.9900513,0.3559485674
793.005249,0.0119665321,993.0119019,0.3573004901
791.9956665,0.0122622605,992.0015869,0.3582364023
790.9857178,0.0141846845,990.9906006,0.3545415998
790.0101318,0.0118810982,990.0105591,0.3537715673
788.9993286,0.0142966546,988.9984131,0.3564396501
787.9880981,0.0129121589,987.9857788,0.3591251671
787.0114136,0.0140003674,987.0039673,0.3594803512
785.9994507,0.0110074272,985.9900513,0.3569197953
784.9870605,0.0134729845,985.0072632,0.3570969105
784.0092163,0.0141067281,983.9920044,0.358564347
782.9960938,0.0132156033,983.0079346,0.3562345803
782.0174561,0.0127455741,981.9916382,0.3611009717
781.00354,0.0138297044,981.0064697,0.3585169017
779.9892578,0.0143228462,979.9890137,0.3603984118
779.0094604,0.0119794374,979.0025024,0.3622590899
777.9943848,0.0119363852,978.015625,0.3628312647
777.013855,0.0140855508,976.9963379,0.3623348475
775.9979858,0.0152341835,976.0083618,0.3633851111
775.0167847,0.0130255353,974.9876709,0.3663182557
774.0001221,0.0132789603,973.9984741,0.3662715852
772.9830322,0.0129200527,973.0087891,0.3654631674
772.0007324,0.0122608487,971.9865723,0.3655581176
770.9829102,0.0141167566,970.9956665,0.3652429283
769.9997559,0.0138267912,970.0040894,0.3689768612
769.0163574,0.0145757981,969.012085,0.3699631691
767.9973755,0.0134504754,967.9875488,0.3726475537
767.0131226,0.0147232693,966.9943848,0.3710987866
765.9934692,0.0133972382,966.0005493,0.3736268878
765.0084839,0.0133617064,965.0062866,0.3738688827
763.9879761,0.0144597413,964.0114746,0.3797588944
763.0023804,0.0137934955,963.0161133,0.3750627041
762.0162964,0.0138947005,961.9879761,0.3761380613
760.9946899,0.0126435971,960.991394,0.3799090385
760.0079346,0.0154623976,959.9943237,0.3785244226
758.9855347,0.0144660566,958.9967041,0.3864663541
757.9980469,0.0149515634,957.9985352,0.3858832121
757.0101929,0.0134291695,956.9996948,0.3856644332
755.9866943,0.01617264,956.0004272,0.3886426985
754.9981079,0.0166653041,955.0004883,0.3890660107
754.0092163,0.0136194676,954.0001831,0.3957147002
752.9845581,0.0148894889,952.9991455,0.3977901042
751.994873,0.0146614686,951.9976196,0.3952570856
751.0049438,0.0133167543,950.9955444,0.3977486193
750.0145264,0.0141888028,949.9927979,0.4029254019
748.9884644,0.0132945739,948.9896851,0.4031920731
747.9973145,0.0150590958,947.9860229,0.4026289582
747.0058594,0.0120434389,947.0140381,0.4081119299
746.0140991,0.0159022957,946.0092773,0.4070191979
744.9864502,0.0143310064,945.0039673,0.408115238
743.9939575,0.0151003683,943.9981079,0.4087867439
743.0011597,0.0167716742,942.9915771,0.4119442701
742.0078735,0.014562387,941.9845581,0.4120230675
741.0143433,0.0153116453,941.0096436,0.4128441513
739.9849243,0.0149455881,940.0015259,0.4164681435
738.9906616,0.0145565514,938.9928589,0.4166608751
737.9960327,0.0154778753,937.9837036,0.4179143012
737.0010376,0.0139644649,937.0065918,0.419674933
736.0057373,0.0153187513,935.9962769,0.4180312157
735.0100098,0.0149710951,934.9857178,0.4241855145
734.0140381,0.0145350294,934.006958,0.4259953797
733.0176392,0.0152329775,932.9951172,0.4248238504
731.9853516,0.0141523769,932.0153809,0.4317491353
730.9882813,0.0144941853,931.0025635,0.4303145707
729.9907837,0.0159375258,929.9891357,0.4352564812
728.993103,0.0163011141,929.0078125,0.4343313873
727.9949341,0.0151515631,927.9932861,0.437274754
726.996582,0.0151683167,927.0109863,0.4416437745
725.9977417,0.0156893637,925.9955444,0.4408479333
724.9985962,0.0157251675,925.012146,0.4443643391
723.9990845,0.0164150037,923.9955444,0.4458886981
722.9992676,0.0159124732,923.0112915,0.447290957
721.9991455,0.015313522,921.9935913,0.4484065473
720.9985962,0.0157459416,921.0083008,0.4498484135
719.9978027,0.015917521,919.989563,0.4545358419
718.996582,0.014503018,919.0031738,0.4545100331
717.9950562,0.0172726139,917.9834595,0.4566386938
716.9931641,0.0162342526,916.9960938,0.4558814168
715.9910278,0.0177334957,916.0082397,0.4579111934
714.9884644,0.0164107028,914.9869995,0.4606406987
713.9856567,0.0170446057,913.9980469,0.4598282874
712.9823608,0.0173736364,913.0087891,0.4627524912
712.0146484,0.0167289227,911.9858398,0.4644209445
711.0107422,0.0175016597,910.9954834,0.4646450281
710.0065918,0.0188605506,910.0045776,0.4664545953
709.0020142,0.0183595587,909.0132446,0.4676338732
707.9971313,0.0174081512,907.9882202,0.4609664679
706.9919434,0.0185547043,906.9959106,0.4634583294
705.9863281,0.0180877149,906.0029907,0.4671779573
705.0164185,0.0169704408,905.0097656,0.4662728012
704.0102539,0.0202492271,904.0159302,0.4641291499
703.0036621,0.0179091804,902.9884644,0.4710097909
701.9967651,0.0190322567,901.9936523,0.4687868655
700.989563,0.0174899362,900.99823,0.4693369567
699.9819946,0.0182759352,900.0024414,0.4677282572
699.0101929,0.0183435455,899.0061646,0.4716852605
698.0019531,0.0193838831,898.0093994,0.4685611725
696.9934692,0.0180407334,897.012085,0.4713363349
695.9846191,0.0183512941,896.0142822,0.4703958333
695.0115356,0.0206289571,895.0160522,0.4716306329
694.0020752,0.0187308285,893.9839478,0.4723721445
692.9921875,0.0177377556,892.9848022,0.4721799791
691.9819946,0.0202678051,891.9850464,0.4742389619
691.0076904,0.0207058936,890.9848633,0.4734990597
689.9969482,0.0186411627,889.9842529,0.4745759964
688.9857788,0.020204071,889.0163574,0.4726000726
688.010498,0.0197355785,888.0147705,0.4729159176
686.9987183,0.0216890778,887.0126953,0.4749536812
685.9866943,0.0204832386,886.0100098,0.4742778838
685.010437,0.0203998033,885.006958,0.474802494
683.9976807,0.0201613884,884.003418,0.4747036099
682.9846802,0.0228809994,882.9993896,0.4764101207
682.0075073,0.0212979242,881.9949341,0.4764768779
680.9937744,0.0208461192,880.9898071,0.4741342068
680.0160522,0.0233215969,879.984375,0.4759956598
679.00177,0.0223848894,879.0120239,0.4786307216
677.9871826,0.0225461889,878.0055542,0.4799156189
677.0084229,0.0209003314,876.9986572,0.4823305905
675.9932251,0.0230641291,875.991333,0.4819340706
675.013916,0.0233733058,874.9835205,0.4776039124
673.9980469,0.0231965706,874.0087891,0.4797401726
673.0181885,0.0253065862,873,0.4792944789
672.0016479,0.0245213285,871.9908447,0.4780279398
670.9848022,0.0258939341,871.0147095,0.4824614227
670.0040283,0.0232366864,870.0045776,0.479658097
668.9865723,0.0246742722,868.9938965,0.4820100665
668.005188,0.0248497725,868.0165405,0.4811474681
666.9870605,0.0244144127,867.0049438,0.4867301583
666.005127,0.0253609736,865.9928589,0.4864924252
664.9864502,0.026371982,865.0141602,0.48396945
664.0037842,0.0245718919,864.0012207,0.4835032821
662.9844971,0.0256561916,862.987793,0.485098958
662.0013428,0.0241909158,862.0076294,0.4859240949
661.0178223,0.026732441,860.9933472,0.487824589
659.9976196,0.0256571807,860.0122681,0.4918977916
659.0136108,0.0259879138,858.9970093,0.4910484254
657.9927368,0.0254788287,858.0151978,0.4935234487
657.0080566,0.026232766,856.9990234,0.4980381429
655.9866333,0.0270281248,856.0162354,0.4935344756
655.0014038,0.0269142557,854.9991455,0.4914729297
654.0158081,0.0260826275,854.015564,0.4917909205
652.9935303,0.0273945052,852.9974976,0.495040834
652.0074463,0.0282004196,852.0129395,0.4965640008
650.984436,0.0278287772,850.9941406,0.5001502037
649.9977417,0.0282338169,850.008667,0.4987927675
649.0107422,0.0283099022,848.9888916,0.4987470806
647.9869385,0.0272389744,848.0025024,0.4994485378
646.9993286,0.0286126342,847.0158081,0.5011569858
646.0114746,0.0284539033,845.994751,0.5022584796
644.9866943,0.0283091012,845.0070801,0.5053594708
643.9983521,0.0287582576,843.9850464,0.5055363774
643.0095825,0.0304637104,842.996521,0.5038428903
641.9839478,0.0284295268,842.0077515,0.5075318217
640.9946899,0.0282206405,840.984314,0.5094261765
640.0050659,0.0290062558,839.9945679,0.5113943815
639.0152588,0.0292106196,839.0043945,0.5085269809
637.9884033,0.0301921777,838.0137329,0.5083706975
636.9979858,0.0298998524,836.9885864,0.5098502636
636.0073242,0.0300115384,835.9971924,0.513794899
635.0162964,0.031683445,835.005249,0.512465775
633.9883423,0.0297312252,834.0129395,0.5151558518
632.9968262,0.0330358408,832.9860229,0.5148851275
632.0048828,0.029779017,831.9927979,0.5171098113
631.0128174,0.0302875079,830.9992676,0.5146594048
629.9837036,0.0314186104,830.005249,0.5189728141
628.9909668,0.0312876403,829.0108643,0.5196886063
627.9980469,0.0302760452,828.0159912,0.5199964046
627.0048218,0.0313949846,826.9863892,0.5184415579
626.0113525,0.0297794323,825.9907227,0.5234273076
625.0175171,0.0313011631,824.9946289,0.5228787065
623.9866943,0.0301117115,823.9980469,0.5233220458
622.9923706,0.0331426933,823.0010986,0.5238044858
621.9977417,0.0323529095,822.0037842,0.5256476998
621.0028687,0.0335510671,821.0059814,0.5302298069
620.0076904,0.032088615,820.0076294,0.5273053646
619.0122681,0.0329934694,819.0090332,0.529825449
618.0166016,0.0330426283,818.0100708,0.5295464993
616.9837036,0.0336332396,817.0106201,0.5296937823
615.9874268,0.0335346274,816.0107422,0.531109035
614.9909668,0.0328244194,815.010498,0.5322157741
613.9941406,0.0343834907,814.0097656,0.5307869911
612.9970703,0.0345992893,813.008667,0.5328307748
611.9997559,0.0350205973,812.0072021,0.5354089737
611.0021973,0.0355498195,811.005249,0.5347479582
610.0042114,0.0352329798,810.0029907,0.5327029824
609.0061646,0.037434604,809.0001831,0.5382357836
608.0077515,0.037147738,807.9970703,0.5320180058
607.0090332,0.0365162641,806.9935303,0.5349859595
606.0100708,0.0373831987,805.989502,0.539655447
605.0109253,0.0371972285,804.9851685,0.5364887714
604.0114746,0.0385005958,804.0150146,0.5361281037
603.0117188,0.0383716859,803.0098267,0.5396717787
602.0117188,0.0403339714,802.0042114,0.5398430824
601.0114746,0.041365508,800.9981689,0.5355061889
600.0108643,0.0400350504,799.9918213,0.5384770632
599.0101318,0.0414728634,798.9849854,0.5390779376
598.0090332,0.0411014743,798.0125122,0.5400981903
597.0078125,0.0419270992,797.0048828,0.5386065841
596.0061646,0.0429513715,795.9969482,0.5372341871
595.0043335,0.0446525142,794.9885254,0.5416083336
594.0021973,0.0461442657,794.0145264,0.5421617031
592.9998779,0.0459147729,793.005249,0.5425068736
